,university,relationships,break ups,divorce,wedding,death,family,friendship,Dominant_Topic,Topic_Probability
Document 0,6.8,5.5,0.1,30.5,0.1,2.7,8.2,46.0,Topic 7,46.0
Document 1,2.3,7.2,0.1,0.1,2.4,23.8,63.7,0.3,Topic 6,63.7
Document 2,15.0,26.3,8.8,1.8,27.2,1.3,7.4,12.2,Topic 4,27.2
Document 3,16.4,57.2,3.2,2.4,2.5,2.3,6.9,9.1,Topic 1,57.2
Document 4,21.3,7.8,20.1,13.7,4.8,11.9,3.6,16.8,Topic 0,21.3
Document 5,0.4,6.6,25.9,0.1,18.3,0.3,47.5,0.8,Topic 6,47.5
Document 6,39.8,18.1,3.3,4.1,2.2,11.1,14.3,7.1,Topic 0,39.8
Document 7,3.1,4.4,20.3,14.2,4.7,30.5,16.3,6.5,Topic 5,30.5
Document 8,13.1,10.0,20.7,23.5,4.4,8.1,0.4,19.8,Topic 3,23.5
Document 9,0.2,28.8,8.9,16.9,3.2,3.2,19.7,19.2,Topic 1,28.8
Document 10,22.9,4.3,27.0,4.5,3.9,26.2,3.7,7.4,Topic 2,27.0
Document 11,27.3,3.9,11.8,4.6,7.7,22.6,1.6,20.4,Topic 0,27.3
Document 12,18.3,1.8,1.3,22.0,2.9,4.3,10.0,39.4,Topic 7,39.4
Document 13,6.2,3.0,3.8,3.2,18.5,38.1,11.8,15.3,Topic 5,38.1
Document 14,3.6,16.2,6.9,5.6,6.5,0.4,55.3,5.4,Topic 6,55.3
Document 15,35.4,36.7,3.9,2.1,2.5,3.5,15.6,0.3,Topic 1,36.7
Document 16,29.5,0.2,1.3,26.5,1.8,6.0,1.2,33.6,Topic 7,33.6
Document 17,10.3,10.7,23.2,3.4,7.6,0.8,25.3,18.8,Topic 6,25.3
Document 18,12.4,4.9,1.1,17.7,32.3,14.9,0.6,16.0,Topic 4,32.3
Document 19,4.6,0.3,1.7,14.7,15.0,47.7,1.5,14.5,Topic 5,47.7
Document 20,32.0,2.1,3.3,9.7,0.7,12.3,1.5,38.3,Topic 7,38.3
Document 21,28.9,3.1,0.0,22.6,4.2,11.4,6.0,23.9,Topic 0,28.9
Document 22,0.7,0.9,2.0,13.2,0.3,34.2,0.1,48.6,Topic 7,48.6
Document 23,3.1,0.0,10.5,9.2,19.2,45.3,12.5,0.1,Topic 5,45.3
Document 24,3.4,10.5,0.9,2.7,12.9,17.0,47.5,5.1,Topic 6,47.5
Document 25,9.3,8.8,9.8,11.4,1.4,1.4,49.5,8.5,Topic 6,49.5
Document 26,24.3,4.5,20.7,14.5,10.4,22.7,0.2,2.7,Topic 0,24.3
Document 27,6.9,2.9,23.8,0.5,21.0,15.7,24.3,4.8,Topic 6,24.3
Document 28,8.8,11.3,5.3,16.1,5.8,12.5,22.2,18.0,Topic 6,22.2
Document 29,2.4,14.8,0.6,10.5,34.7,0.8,29.8,6.4,Topic 4,34.7
Document 30,2.4,6.3,47.6,5.1,8.5,9.0,16.3,4.9,Topic 2,47.6
Document 31,8.5,1.4,3.6,13.9,7.9,53.5,7.2,4.0,Topic 5,53.5
Document 32,23.0,3.2,4.2,7.7,7.8,0.7,32.0,21.5,Topic 6,32.0
Document 33,23.0,0.3,48.9,3.9,1.7,5.3,3.8,13.1,Topic 2,48.9
Document 34,0.3,29.2,4.0,6.8,18.9,3.1,8.5,29.3,Topic 7,29.3
Document 35,6.6,4.7,9.7,2.5,13.3,51.4,8.4,3.4,Topic 5,51.4
Document 36,24.7,4.5,8.7,20.3,5.9,9.7,17.5,8.6,Topic 0,24.7
Document 37,4.4,11.7,0.2,10.3,28.5,8.2,19.6,17.1,Topic 4,28.5
Document 38,7.8,6.8,9.9,23.3,8.5,20.9,8.0,14.8,Topic 3,23.3
Document 39,2.0,9.2,19.2,0.4,33.9,15.1,1.2,19.0,Topic 4,33.9
Document 40,11.5,0.4,4.4,7.7,6.2,43.5,11.9,14.4,Topic 5,43.5
Document 41,17.7,3.4,0.4,4.4,0.4,50.2,22.6,0.8,Topic 5,50.2
Document 42,0.3,1.4,4.3,32.6,14.8,6.6,35.1,5.1,Topic 6,35.1
Document 43,17.8,0.3,31.0,0.1,0.0,45.8,0.4,4.5,Topic 5,45.8
Document 44,1.2,2.4,19.3,8.6,7.3,36.0,5.5,19.8,Topic 5,36.0
Document 45,0.6,0.1,59.5,2.4,5.5,9.4,11.4,11.0,Topic 2,59.5
Document 46,31.1,8.7,12.4,9.8,12.1,0.2,14.1,11.6,Topic 0,31.1
Document 47,0.1,1.4,22.3,16.8,14.5,2.0,0.6,42.4,Topic 7,42.4
Document 48,0.2,6.9,41.9,2.3,15.9,1.8,4.9,26.0,Topic 2,41.9
Document 49,7.3,4.3,15.0,1.3,10.0,30.0,17.7,14.4,Topic 5,30.0
Document 50,0.4,3.2,17.0,14.8,0.4,1.0,36.9,26.3,Topic 6,36.9
Document 51,25.3,15.4,3.0,12.5,14.6,24.1,2.4,2.7,Topic 0,25.3
Document 52,13.0,17.9,5.2,18.9,18.8,2.5,15.9,7.8,Topic 3,18.9
Document 53,12.1,52.1,0.1,5.5,1.5,0.2,2.6,25.8,Topic 1,52.1
Document 54,16.5,11.4,7.2,5.2,0.1,24.1,26.3,9.1,Topic 6,26.3
Document 55,24.3,0.1,20.4,6.1,33.1,0.1,14.7,1.2,Topic 4,33.1
Document 56,20.7,12.4,16.5,1.5,24.0,2.1,6.9,15.9,Topic 4,24.0
Document 57,21.8,7.8,6.9,22.1,15.0,2.2,9.1,15.2,Topic 3,22.1
Document 58,2.2,29.7,10.6,5.6,7.2,1.4,37.5,5.9,Topic 6,37.5
Document 59,4.7,5.2,12.5,0.4,6.6,18.2,44.6,7.8,Topic 6,44.6
Document 60,55.4,6.6,0.1,4.5,0.2,1.9,31.0,0.2,Topic 0,55.4
Document 61,3.5,7.0,8.9,37.6,2.0,13.4,0.7,26.9,Topic 3,37.6
Document 62,0.9,0.0,33.3,0.0,0.0,0.0,65.6,0.0,Topic 6,65.6
Document 63,59.1,10.2,0.0,6.5,7.7,1.0,11.2,4.2,Topic 0,59.1
Document 64,13.6,13.1,7.6,9.8,0.7,29.5,14.2,11.5,Topic 5,29.5
Document 65,4.9,10.1,0.9,5.9,37.1,12.4,12.4,16.3,Topic 4,37.1
Document 66,16.6,0.6,6.0,6.6,6.0,39.6,0.7,23.9,Topic 5,39.6
Document 67,5.1,22.5,15.9,4.7,10.1,2.6,20.0,19.1,Topic 1,22.5
Document 68,1.0,8.3,5.3,4.2,4.5,52.3,13.8,10.6,Topic 5,52.3
Document 69,11.2,17.4,10.4,10.9,3.2,1.7,1.2,43.9,Topic 7,43.9
Document 70,11.8,12.7,12.6,3.5,12.8,2.1,2.3,42.2,Topic 7,42.2
Document 71,36.8,9.6,6.5,4.8,5.9,6.1,6.0,24.3,Topic 0,36.8
Document 72,1.6,6.6,71.8,2.4,2.6,4.4,5.6,5.0,Topic 2,71.8
Document 73,2.2,19.8,0.3,23.4,13.2,0.8,0.3,40.0,Topic 7,40.0
Document 74,2.0,18.3,0.6,0.1,0.2,13.1,50.6,15.3,Topic 6,50.6
Document 75,1.2,42.9,0.0,4.0,22.8,3.3,0.1,25.6,Topic 1,42.9
Document 76,0.1,1.5,38.2,0.0,5.9,0.8,42.1,11.4,Topic 6,42.1
Document 77,10.5,5.5,2.2,29.6,0.5,10.5,0.9,40.3,Topic 7,40.3
Document 78,23.0,29.2,14.4,0.3,3.2,24.8,2.5,2.6,Topic 1,29.2
Document 79,33.3,0.8,0.1,30.3,5.6,5.0,10.8,14.2,Topic 0,33.3
Document 80,22.7,10.6,20.5,3.5,15.1,9.7,0.0,17.9,Topic 0,22.7
Document 81,20.2,6.1,57.8,4.2,3.5,6.0,0.6,1.6,Topic 2,57.8
Document 82,2.4,27.1,3.6,3.9,16.0,36.5,5.9,4.6,Topic 5,36.5
Document 83,5.1,22.1,5.9,21.5,22.9,0.5,0.8,21.2,Topic 4,22.9
Document 84,37.2,6.3,11.7,2.8,7.3,12.6,15.9,6.3,Topic 0,37.2
Document 85,64.5,0.2,0.8,4.2,1.6,19.5,9.2,0.0,Topic 0,64.5
Document 86,16.4,32.0,0.1,6.9,1.8,1.4,0.4,41.1,Topic 7,41.1
Document 87,0.4,17.2,1.1,16.6,25.0,10.5,4.2,25.0,Topic 4,25.0
Document 88,0.6,6.5,0.0,15.6,26.9,0.8,18.0,31.6,Topic 7,31.6
Document 89,11.0,26.9,2.6,3.1,19.8,10.5,18.9,7.2,Topic 1,26.9
Document 90,6.5,7.1,13.4,0.6,13.5,51.5,0.2,7.1,Topic 5,51.5
Document 91,5.7,24.4,2.3,9.4,29.0,10.2,1.8,17.2,Topic 4,29.0
Document 92,5.5,9.0,3.7,14.3,2.5,29.9,21.5,13.8,Topic 5,29.9
Document 93,1.3,40.5,7.8,5.9,5.6,1.5,8.9,28.5,Topic 1,40.5
Document 94,1.3,39.2,4.3,6.9,5.7,0.3,15.6,26.8,Topic 1,39.2
Document 95,1.0,19.6,0.3,9.0,1.7,4.5,20.6,43.3,Topic 7,43.3
Document 96,14.4,15.7,3.6,2.4,9.4,4.5,11.5,38.6,Topic 7,38.6
Document 97,0.2,32.2,5.5,7.8,3.7,25.2,21.3,4.0,Topic 1,32.2
Document 98,0.7,0.7,23.1,18.6,28.8,4.1,5.1,18.8,Topic 4,28.8
Document 99,0.1,19.9,1.0,14.6,36.1,6.4,1.3,20.6,Topic 4,36.1
Document 100,3.3,5.2,27.2,11.9,8.9,20.6,3.9,19.1,Topic 2,27.2
Document 101,1.6,7.1,4.6,41.2,21.8,5.8,4.2,13.8,Topic 3,41.2
Document 102,20.9,3.5,4.4,10.6,9.7,31.1,19.6,0.2,Topic 5,31.1
Document 103,26.8,1.8,2.8,25.9,8.5,12.4,3.7,18.0,Topic 0,26.8
Document 104,13.2,0.5,13.7,9.7,50.5,6.4,0.9,5.2,Topic 4,50.5
Document 105,0.6,0.1,6.1,26.9,21.7,37.2,1.3,6.0,Topic 5,37.2
Document 106,2.2,2.2,20.8,41.0,1.5,8.1,0.3,23.8,Topic 3,41.0
Document 107,0.5,0.4,0.0,15.6,54.1,19.0,0.1,10.3,Topic 4,54.1
Document 108,13.1,4.4,0.4,48.9,0.1,0.6,2.9,29.7,Topic 3,48.9
Document 109,0.9,9.4,6.2,3.0,49.7,14.8,0.9,15.1,Topic 4,49.7
Document 110,10.0,24.3,9.2,10.0,15.9,1.5,7.3,22.0,Topic 1,24.3
Document 111,10.5,6.1,25.0,1.1,0.2,12.3,35.5,9.3,Topic 6,35.5
Document 112,19.5,0.9,12.3,0.6,2.1,11.5,42.5,10.6,Topic 6,42.5
Document 113,0.6,6.8,4.1,20.8,20.4,11.6,10.6,25.0,Topic 7,25.0
Document 114,2.4,2.9,4.4,16.2,6.2,45.2,1.3,21.4,Topic 5,45.2
Document 115,35.0,2.4,11.5,21.7,0.3,13.8,11.2,4.3,Topic 0,35.0
Document 116,50.8,3.7,6.1,9.2,9.2,0.6,3.9,16.5,Topic 0,50.8
Document 117,1.9,14.2,16.9,34.5,0.4,1.6,7.2,23.2,Topic 3,34.5
Document 118,10.4,9.0,18.8,0.4,6.3,0.4,49.1,5.7,Topic 6,49.1
Document 119,0.3,54.8,9.1,3.4,2.2,0.1,27.2,2.9,Topic 1,54.8
Document 120,30.1,18.6,4.0,0.4,27.1,15.4,0.1,4.3,Topic 0,30.1
Document 121,0.5,5.9,2.4,34.5,6.5,0.2,3.1,46.7,Topic 7,46.7
Document 122,4.1,44.6,2.0,9.3,4.9,10.8,5.7,18.6,Topic 1,44.6
Document 123,4.5,8.2,30.5,11.1,7.9,25.4,4.2,8.0,Topic 2,30.5
Document 124,0.2,32.6,11.7,7.2,13.4,3.3,23.9,7.8,Topic 1,32.6
Document 125,2.1,39.4,7.3,5.2,12.5,2.8,27.0,3.7,Topic 1,39.4
Document 126,22.0,10.8,3.8,3.5,24.5,10.2,0.7,24.5,Topic 4,24.5
Document 127,1.9,12.1,0.1,9.4,5.6,5.7,0.5,64.6,Topic 7,64.6
Document 128,1.9,23.8,29.9,2.0,1.1,6.7,24.2,10.4,Topic 2,29.9
Document 129,4.7,5.4,4.5,3.4,26.6,23.0,27.1,5.2,Topic 6,27.1
Document 130,0.1,3.0,0.2,38.6,14.2,6.3,0.4,37.2,Topic 3,38.6
Document 131,14.6,7.8,0.3,2.0,37.2,26.5,11.4,0.1,Topic 4,37.2
Document 132,1.0,8.2,0.0,14.9,26.9,6.1,3.7,39.1,Topic 7,39.1
Document 133,12.7,27.3,10.1,12.0,5.7,5.3,11.5,15.2,Topic 1,27.3
Document 134,3.2,13.4,14.6,10.1,2.2,47.4,4.6,4.5,Topic 5,47.4
Document 135,6.7,9.7,11.3,9.4,28.9,4.4,3.8,25.9,Topic 4,28.9
Document 136,1.2,12.1,5.4,4.1,13.5,19.3,0.6,43.7,Topic 7,43.7
Document 137,3.9,19.4,17.3,22.5,7.8,14.4,1.4,13.4,Topic 3,22.5
Document 138,12.8,16.4,10.0,6.9,14.1,0.3,15.3,24.2,Topic 7,24.2
Document 139,1.0,5.7,0.1,53.1,0.8,2.8,0.4,36.1,Topic 3,53.1
Document 140,7.0,39.6,1.0,4.1,10.3,4.6,4.6,28.8,Topic 1,39.6
Document 141,78.4,0.8,5.9,3.5,0.4,2.1,6.8,2.1,Topic 0,78.4
Document 142,16.5,30.6,16.2,3.3,1.4,10.8,7.1,14.1,Topic 1,30.6
Document 143,19.5,4.8,5.0,28.1,4.1,20.8,0.9,16.8,Topic 3,28.1
Document 144,33.5,6.6,0.3,10.1,8.6,0.6,37.4,3.1,Topic 6,37.4
Document 145,1.9,8.9,8.2,12.8,29.6,17.8,1.0,19.8,Topic 4,29.6
Document 146,10.1,4.0,4.3,14.2,24.2,1.2,13.7,28.3,Topic 7,28.3
Document 147,3.2,12.9,4.0,11.2,40.9,1.7,11.1,14.9,Topic 4,40.9
Document 148,46.4,1.4,2.0,1.4,21.0,13.8,10.1,4.0,Topic 0,46.4
Document 149,18.4,10.4,21.6,15.2,3.6,7.3,0.5,22.9,Topic 7,22.9
Document 150,22.4,3.7,8.2,0.6,37.7,10.9,2.9,13.7,Topic 4,37.7
Document 151,1.4,11.6,16.7,13.8,2.6,34.4,8.2,11.2,Topic 5,34.4
Document 152,1.4,3.4,44.1,2.0,14.7,13.6,6.2,14.4,Topic 2,44.1
Document 153,11.8,10.5,3.8,35.5,3.2,0.5,9.1,25.6,Topic 3,35.5
Document 154,5.4,4.9,4.6,5.4,16.2,36.6,24.1,2.7,Topic 5,36.6
Document 155,55.8,5.2,8.9,8.9,7.1,1.4,3.4,9.3,Topic 0,55.8
Document 156,13.5,5.7,12.7,19.3,0.9,27.2,2.5,18.0,Topic 5,27.2
Document 157,16.9,2.9,41.8,3.4,3.0,13.8,13.4,4.8,Topic 2,41.8
Document 158,11.2,59.7,0.1,0.3,5.4,0.2,7.5,15.7,Topic 1,59.7
Document 159,40.0,0.9,9.3,17.3,4.4,24.8,1.0,2.4,Topic 0,40.0
Document 160,3.6,34.6,4.4,14.3,3.0,1.5,7.5,31.1,Topic 1,34.6
Document 161,0.3,5.1,9.7,10.1,62.0,9.2,0.1,3.5,Topic 4,62.0
Document 162,3.6,2.0,5.7,3.0,8.3,53.6,2.9,20.8,Topic 5,53.6
Document 163,1.3,5.6,5.2,17.5,6.6,34.9,1.0,27.8,Topic 5,34.9
Document 164,20.4,28.1,14.5,2.2,11.7,5.1,0.7,17.2,Topic 1,28.1
Document 165,11.4,12.0,3.1,1.9,16.5,14.3,19.5,21.2,Topic 7,21.2
Document 166,10.7,39.1,1.5,0.7,8.4,6.5,26.5,6.7,Topic 1,39.1
Document 167,11.4,1.8,1.7,39.3,6.9,2.6,0.2,36.1,Topic 3,39.3
Document 168,8.3,16.1,11.1,7.6,3.0,7.0,37.5,9.4,Topic 6,37.5
Document 169,3.9,3.4,47.4,0.9,3.3,29.7,3.2,8.1,Topic 2,47.4
Document 170,10.2,28.9,11.2,5.5,4.2,0.5,17.5,21.9,Topic 1,28.9
Document 171,1.5,36.6,1.8,16.6,7.5,11.4,2.0,22.6,Topic 1,36.6
Document 172,3.7,41.6,1.8,3.2,14.0,2.6,12.4,20.6,Topic 1,41.6
Document 173,1.0,17.7,1.5,17.6,7.6,43.2,6.7,4.7,Topic 5,43.2
Document 174,37.5,8.1,20.8,9.7,0.4,10.9,0.3,12.3,Topic 0,37.5
Document 175,45.7,2.4,11.8,5.0,2.4,15.8,3.2,13.7,Topic 0,45.7
Document 176,12.3,3.1,20.7,2.9,3.1,32.4,0.1,25.4,Topic 5,32.4
Document 177,47.0,14.6,0.7,2.6,1.5,12.4,5.6,15.6,Topic 0,47.0
Document 178,46.7,5.0,5.0,2.4,3.4,0.4,0.6,36.6,Topic 0,46.7
Document 179,1.3,7.5,3.3,45.2,16.2,7.9,0.1,18.5,Topic 3,45.2
Document 180,17.1,10.5,27.0,7.1,9.0,11.7,3.0,14.6,Topic 2,27.0
Document 181,5.3,27.6,0.8,3.7,16.9,4.1,3.4,38.2,Topic 7,38.2
Document 182,3.6,8.5,3.4,20.2,23.8,7.9,18.4,14.3,Topic 4,23.8
Document 183,5.6,7.9,7.6,16.9,8.5,24.4,4.7,24.4,Topic 5,24.4
Document 184,37.6,13.5,0.1,12.8,18.5,0.1,17.2,0.1,Topic 0,37.6
Document 185,38.9,0.2,6.4,22.5,1.8,1.9,3.8,24.6,Topic 0,38.9
Document 186,9.4,19.0,11.0,13.0,0.5,11.1,7.2,28.9,Topic 7,28.9
Document 187,1.1,3.5,44.1,5.1,9.8,19.8,15.1,1.7,Topic 2,44.1
Document 188,21.0,9.7,3.7,0.0,13.8,31.7,17.5,2.6,Topic 5,31.7
Document 189,12.4,21.8,11.9,0.2,13.8,9.2,6.8,23.9,Topic 7,23.9
Document 190,6.9,0.2,56.9,9.7,9.4,6.1,0.5,10.3,Topic 2,56.9
Document 191,0.4,9.8,18.0,6.9,1.9,21.7,9.3,32.1,Topic 7,32.1
Document 192,0.2,16.6,2.2,29.4,9.8,5.0,2.0,34.8,Topic 7,34.8
Document 193,24.4,19.6,1.0,8.0,1.7,18.1,4.3,22.9,Topic 0,24.4
Document 194,8.6,16.0,11.1,32.1,0.1,2.3,14.0,15.8,Topic 3,32.1
Document 195,8.7,4.2,13.0,0.2,13.9,8.0,51.7,0.3,Topic 6,51.7
Document 196,24.3,1.0,12.0,16.0,10.2,7.1,0.1,29.3,Topic 7,29.3
Document 197,11.9,6.6,7.3,4.6,4.3,34.6,14.7,15.9,Topic 5,34.6
Document 198,0.2,32.7,2.2,18.3,3.8,11.1,6.0,25.7,Topic 1,32.7
Document 199,30.5,14.5,9.3,5.2,1.7,6.8,15.8,16.2,Topic 0,30.5
Document 200,8.1,6.2,25.5,0.1,21.5,0.5,30.5,7.7,Topic 6,30.5
Document 201,0.2,9.5,3.9,2.2,27.3,34.1,2.3,20.4,Topic 5,34.1
Document 202,0.4,43.1,4.0,15.1,0.6,5.4,13.3,18.1,Topic 1,43.1
Document 203,2.4,45.9,3.5,1.0,30.0,2.2,14.3,0.6,Topic 1,45.9
Document 204,19.2,40.3,0.9,1.5,9.5,2.6,2.1,23.9,Topic 1,40.3
Document 205,10.5,18.9,7.3,0.4,16.1,12.5,33.0,1.3,Topic 6,33.0
Document 206,3.1,43.4,12.1,20.3,0.6,0.6,10.9,9.0,Topic 1,43.4
Document 207,17.5,8.7,18.0,2.2,8.9,37.8,0.2,6.7,Topic 5,37.8
Document 208,3.5,13.3,2.1,20.0,1.7,0.1,35.7,23.7,Topic 6,35.7
Document 209,1.2,8.7,6.7,43.7,9.2,2.7,22.3,5.4,Topic 3,43.7
Document 210,32.1,17.0,7.5,8.4,8.4,8.3,15.3,3.0,Topic 0,32.1
Document 211,11.5,2.9,9.6,5.5,1.9,53.5,3.5,11.6,Topic 5,53.5
Document 212,1.6,2.5,26.6,15.1,26.7,4.3,18.8,4.3,Topic 4,26.7
Document 213,2.9,9.9,0.7,3.7,24.1,39.8,9.0,9.9,Topic 5,39.8
Document 214,17.0,0.1,14.0,3.7,9.7,4.1,48.2,3.2,Topic 6,48.2
Document 215,2.6,20.8,6.3,22.4,17.9,8.9,4.8,16.3,Topic 3,22.4
Document 216,7.0,43.2,3.9,7.7,7.0,5.8,14.9,10.4,Topic 1,43.2
Document 217,10.2,21.8,13.7,7.2,8.1,27.5,11.1,0.6,Topic 5,27.5
Document 218,9.7,0.2,3.0,14.8,20.7,20.4,11.9,19.3,Topic 4,20.7
Document 219,4.3,7.8,0.2,53.6,2.8,7.3,2.1,22.0,Topic 3,53.6
Document 220,51.0,8.0,7.4,4.1,13.8,0.2,2.9,12.5,Topic 0,51.0
Document 221,34.0,2.8,11.5,11.3,3.1,11.8,8.8,16.7,Topic 0,34.0
Document 222,9.1,3.9,16.3,39.4,0.6,4.0,3.5,23.0,Topic 3,39.4
Document 223,6.5,60.8,8.7,0.5,8.5,1.6,4.0,9.5,Topic 1,60.8
Document 224,10.5,9.4,7.4,20.8,3.0,18.7,7.0,23.2,Topic 7,23.2
Document 225,2.2,0.1,8.8,8.4,0.1,17.3,62.4,0.7,Topic 6,62.4
Document 226,6.5,11.4,0.8,11.6,13.1,52.3,0.2,4.1,Topic 5,52.3
Document 227,42.9,7.8,2.0,17.2,18.3,1.6,0.6,9.5,Topic 0,42.9
Document 228,4.4,20.2,0.2,0.7,25.2,13.9,29.7,5.7,Topic 6,29.7
Document 229,7.6,28.7,0.3,3.2,21.3,9.9,11.8,17.2,Topic 1,28.7
Document 230,11.0,40.0,10.9,0.8,2.2,13.4,0.2,21.5,Topic 1,40.0
Document 231,2.8,5.7,8.1,19.3,16.4,18.5,0.1,29.1,Topic 7,29.1
Document 232,1.3,4.7,23.3,0.3,21.2,39.6,4.4,5.2,Topic 5,39.6
Document 233,1.1,3.2,23.7,43.4,2.3,9.7,3.5,13.2,Topic 3,43.4
Document 234,13.3,3.8,2.4,17.2,11.3,18.0,16.3,17.7,Topic 5,18.0
Document 235,4.2,6.5,20.4,1.3,8.7,48.7,2.6,7.6,Topic 5,48.7
Document 236,1.6,0.5,1.7,11.9,5.0,46.9,32.1,0.3,Topic 5,46.9
Document 237,48.5,12.4,0.2,0.4,13.9,3.0,13.6,8.0,Topic 0,48.5
Document 238,2.7,5.7,1.1,15.0,1.9,2.7,17.5,53.3,Topic 7,53.3
Document 239,8.1,6.7,3.5,36.9,12.3,28.1,1.9,2.5,Topic 3,36.9
Document 240,11.2,5.5,9.5,0.4,16.9,27.9,14.1,14.4,Topic 5,27.9
Document 241,16.2,12.9,10.8,2.1,16.2,11.7,18.6,11.3,Topic 6,18.6
Document 242,42.5,2.4,11.5,0.1,11.0,14.1,0.1,18.4,Topic 0,42.5
Document 243,4.7,31.3,14.4,21.4,6.9,20.3,0.4,0.5,Topic 1,31.3
Document 244,0.1,7.1,40.3,7.8,12.8,17.8,13.1,1.0,Topic 2,40.3
Document 245,6.9,42.2,1.7,14.0,2.9,5.1,5.9,21.4,Topic 1,42.2
Document 246,6.6,0.2,0.0,20.2,4.1,0.2,0.1,68.6,Topic 7,68.6
Document 247,0.6,12.1,7.7,40.0,9.4,3.7,5.5,21.1,Topic 3,40.0
Document 248,24.0,1.0,1.7,32.1,1.4,10.7,12.4,16.8,Topic 3,32.1
